,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
1063,44275,Less Than High School,Educational Services,9002428,1549,2012,Female,Maine,5811.77
1064,44276,High School Gradute,Educational Services,59970139,9157,2012,Female,Maine,6549.1
1065,44277,Some College,Educational Services,97261724,12563,2012,Female,Maine,7741.92
1066,44278,Advanced Degree,Educational Services,162488779,15729,2012,Female,Maine,10330.52
1067,44279,Unavalble,Educational Services,5101565,1410,2012,Female,Maine,3618.13
1068,44364,All Education Categories,Accommodation,16209376,2777,2012,Male,Maine,5837.01
1069,44365,Less Than High School,Accommodation,1886007,353,2012,Male,Maine,5342.8
1070,44366,High School Gradute,Accommodation,5339467,882,2012,Male,Maine,6053.82
1071,44367,Some College,Accommodation,4543244,686,2012,Male,Maine,6622.8
1072,44368,Advanced Degree,Accommodation,3181141,409,2012,Male,Maine,7777.85
1073,44369,Unavalble,Accommodation,1259519,447,2012,Male,Maine,2817.72
1074,44370,All Education Categories,Accommodation,16840390,4191,2012,Female,Maine,4018.23
1075,44371,Less Than High School,Accommodation,1495105,416,2012,Female,Maine,3594.0
1076,44372,High School Gradute,Accommodation,4945347,1239,2012,Female,Maine,3991.4
1077,44373,Some College,Accommodation,5149543,1151,2012,Female,Maine,4473.97
1078,44374,Advanced Degree,Accommodation,3442837,623,2012,Female,Maine,5526.22
1079,44375,Unavalble,Accommodation,1807558,762,2012,Female,Maine,2372.12
