,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
73,217,Less Than High School,Accommodation and Food Services,23210763,5847,2004,Male,Oklahoma,3969.69
74,218,High School Gradute,Accommodation and Food Services,40293046,9020,2004,Male,Oklahoma,4467.08
75,219,Some College,Accommodation and Food Services,35504523,7148,2004,Male,Oklahoma,4967.06
76,220,Advanced Degree,Accommodation and Food Services,19735920,3275,2004,Male,Oklahoma,6026.24
77,221,Unavalble,Accommodation and Food Services,51554090,21736,2004,Male,Oklahoma,2371.83
78,222,All Education Categories,Accommodation and Food Services,167281394,60396,2004,Female,Oklahoma,2769.74
79,223,Less Than High School,Accommodation and Food Services,20463615,6964,2004,Female,Oklahoma,2938.49
80,224,High School Gradute,Accommodation and Food Services,38962338,12068,2004,Female,Oklahoma,3228.57
81,225,Some College,Accommodation and Food Services,34475972,9761,2004,Female,Oklahoma,3532.01
82,226,Advanced Degree,Accommodation and Food Services,15834042,3836,2004,Female,Oklahoma,4127.75
83,227,Unavalble,Accommodation and Food Services,57545427,27768,2004,Female,Oklahoma,2072.36
84,252,All Education Categories,00,6747776322,682412,2005,Male,Oklahoma,9888.13
85,253,Less Than High School,00,510590248,73799,2005,Male,Oklahoma,6918.66
86,254,High School Gradute,00,1671479034,189413,2005,Male,Oklahoma,8824.52
87,255,Some College,00,1920097114,181447,2005,Male,Oklahoma,10582.14
88,256,Advanced Degree,00,2234680460,132764,2005,Male,Oklahoma,16831.98
89,257,Unavalble,00,410929467,104989,2005,Male,Oklahoma,3914.02
90,258,All Education Categories,00,4127927300,688662,2005,Female,Oklahoma,5994.13
91,259,Less Than High School,00,231277323,54751,2005,Female,Oklahoma,4224.17
92,260,High School Gradute,00,916985562,174308,2005,Female,Oklahoma,5260.72
93,261,Some College,00,1316822616,204503,2005,Female,Oklahoma,6439.14
94,262,Advanced Degree,00,1326229129,142726,2005,Female,Oklahoma,9292.13
95,263,Unavalble,00,336612670,112374,2005,Female,Oklahoma,2995.47
96,312,All Education Categories,Manufacturing,1123807932,107031,2005,Male,Oklahoma,10499.84
97,313,Less Than High School,Manufacturing,112029961,14191,2005,Male,Oklahoma,7894.44
98,314,High School Gradute,Manufacturing,360952405,36988,2005,Male,Oklahoma,9758.64
99,315,Some College,Manufacturing,351578957,31219,2005,Male,Oklahoma,11261.7
100,316,Advanced Degree,Manufacturing,240398250,14444,2005,Male,Oklahoma,16643.47
101,317,Unavalble,Manufacturing,58848359,10190,2005,Male,Oklahoma,5775.11
102,318,All Education Categories,Manufacturing,259923720,36665,2005,Female,Oklahoma,7089.15
103,319,Less Than High School,Manufacturing,27544257,5048,2005,Female,Oklahoma,5456.47
104,320,High School Gradute,Manufacturing,82264646,12455,2005,Female,Oklahoma,6604.95
105,321,Some College,Manufacturing,82714007,10912,2005,Female,Oklahoma,7580.1
106,322,Advanced Degree,Manufacturing,53393655,5034,2005,Female,Oklahoma,10606.61
107,323,Unavalble,Manufacturing,14007156,3216,2005,Female,Oklahoma,4355.46
108,336,All Education Categories,Retail Trade,535170662,78427,2005,Male,Oklahoma,6823.81
109,337,Less Than High School,Retail Trade,48574548,8288,2005,Male,Oklahoma,5860.83
110,338,High School Gradute,Retail Trade,158823263,22083,2005,Male,Oklahoma,7192.11
111,339,Some College,Retail Trade,154370039,18085,2005,Male,Oklahoma,8535.81
112,340,Advanced Degree,Retail Trade,104576131,8308,2005,Male,Oklahoma,12587.4
113,341,Unavalble,Retail Trade,68826681,21663,2005,Male,Oklahoma,3177.15
114,342,All Education Categories,Retail Trade,322625497,83266,2005,Female,Oklahoma,3874.64
115,343,Less Than High School,Retail Trade,31410285,8645,2005,Female,Oklahoma,3633.35
116,344,High School Gradute,Retail Trade,103340323,24815,2005,Female,Oklahoma,4164.43
117,345,Some College,Retail Trade,87567711,19038,2005,Female,Oklahoma,4599.63
118,346,Advanced Degree,Retail Trade,46225323,7279,2005,Female,Oklahoma,6350.5
119,347,Unavalble,Retail Trade,54081854,23489,2005,Female,Oklahoma,2302.43
120,372,All Education Categories,Finance and Insurance,285391703,16441,2005,Male,Oklahoma,17358.54
121,373,Less Than High School,Finance and Insurance,6419491,711,2005,Male,Oklahoma,9028.82
122,374,High School Gradute,Finance and Insurance,30087718,2648,2005,Male,Oklahoma,11362.43
123,375,Some College,Finance and Insurance,60254583,4094,2005,Male,Oklahoma,14717.78
124,376,Advanced Degree,Finance and Insurance,180224942,7362,2005,Male,Oklahoma,24480.43
125,377,Unavalble,Finance and Insurance,8404969,1626,2005,Male,Oklahoma,5169.11
126,378,All Education Categories,Finance and Insurance,302981346,38598,2005,Female,Oklahoma,7849.66
127,379,Less Than High School,Finance and Insurance,7878125,1401,2005,Female,Oklahoma,5623.22
128,380,High School Gradute,Finance and Insurance,58314678,8987,2005,Female,Oklahoma,6488.78
129,381,Some College,Finance and Insurance,91776814,11979,2005,Female,Oklahoma,7661.48
130,382,Advanced Degree,Finance and Insurance,121882011,11119,2005,Female,Oklahoma,10961.6
131,383,Unavalble,Finance and Insurance,23129718,5113,2005,Female,Oklahoma,4523.71
132,432,All Education Categories,Educational Services,410336928,49017,2005,Male,Oklahoma,8371.32
133,433,Less Than High School,Educational Services,16699014,3040,2005,Male,Oklahoma,5493.1
134,434,High School Gradute,Educational Services,70216253,10270,2005,Male,Oklahoma,6837.03
135,435,Some College,Educational Services,101526527,12776,2005,Male,Oklahoma,7946.66
136,436,Advanced Degree,Educational Services,213513584,19646,2005,Male,Oklahoma,10868.04
137,437,Unavalble,Educational Services,8381549,3285,2005,Male,Oklahoma,2551.46
138,438,All Education Categories,Educational Services,653428388,107345,2005,Female,Oklahoma,6087.18
139,439,Less Than High School,Educational Services,18481765,4924,2005,Female,Oklahoma,3753.4
140,440,High School Gradute,Educational Services,123336359,25212,2005,Female,Oklahoma,4891.97
141,441,Some College,Educational Services,185764950,31796,2005,Female,Oklahoma,5842.4
142,442,Advanced Degree,Educational Services,308375709,39656,2005,Female,Oklahoma,7776.27
143,443,Unavalble,Educational Services,17469604,5756,2005,Female,Oklahoma,3035.03
144,444,All Education Categories,Health Care and Social Assistance,451390297,34601,2005,Male,Oklahoma,13045.59
145,445,Less Than High School,Health Care and Social Assistance,17207359,2765,2005,Male,Oklahoma,6223.28
146,446,High School Gradute,Health Care and Social Assistance,63022555,7420,2005,Male,Oklahoma,8493.61
147,447,Some College,Health Care and Social Assistance,115708627,10152,2005,Male,Oklahoma,11397.62
148,448,Advanced Degree,Health Care and Social Assistance,241285368,10462,2005,Male,Oklahoma,23063.03
149,449,Unavalble,Health Care and Social Assistance,14166387,3802,2005,Male,Oklahoma,3726.04
150,450,All Education Categories,Health Care and Social Assistance,908401837,142550,2005,Female,Oklahoma,6372.51
151,451,Less Than High School,Health Care and Social Assistance,46118279,10831,2005,Female,Oklahoma,4257.99
152,452,High School Gradute,Health Care and Social Assistance,180721451,34416,2005,Female,Oklahoma,5251.09
153,453,Some College,Health Care and Social Assistance,339651214,51218,2005,Female,Oklahoma,6631.48
154,454,Advanced Degree,Health Care and Social Assistance,278738871,29056,2005,Female,Oklahoma,9593.16
155,455,Unavalble,Health Care and Social Assistance,63172023,17029,2005,Female,Oklahoma,3709.67
156,468,All Education Categories,Accommodation and Food Services,168044810,48849,2005,Male,Oklahoma,3440.09
157,469,Less Than High School,Accommodation and Food Services,22768719,6113,2005,Male,Oklahoma,3724.64
158,470,High School Gradute,Accommodation and Food Services,39905224,9490,2005,Male,Oklahoma,4204.98
159,471,Some College,Accommodation and Food Services,35524865,7468,2005,Male,Oklahoma,4756.94
160,472,Advanced Degree,Accommodation and Food Services,19393430,3351,2005,Male,Oklahoma,5787.36
161,473,Unavalble,Accommodation and Food Services,50452573,22427,2005,Male,Oklahoma,2249.64
162,474,All Education Categories,Accommodation and Food Services,168389865,62906,2005,Female,Oklahoma,2676.85
163,475,Less Than High School,Accommodation and Food Services,20611502,7245,2005,Female,Oklahoma,2844.93
164,476,High School Gradute,Accommodation and Food Services,38813849,12412,2005,Female,Oklahoma,3127.12
165,477,Some College,Accommodation and Food Services,34683711,10162,2005,Female,Oklahoma,3413.08
166,478,Advanced Degree,Accommodation and Food Services,15632707,3972,2005,Female,Oklahoma,3935.73
167,479,Unavalble,Accommodation and Food Services,58648095,29116,2005,Female,Oklahoma,2014.29
168,504,All Education Categories,00,7837316471,715307,2006,Male,Oklahoma,10956.58
169,505,Less Than High School,00,601410881,78497,2006,Male,Oklahoma,7661.58
170,506,High School Gradute,00,1947133983,199254,2006,Male,Oklahoma,9772.12
171,507,Some College,00,2225358842,190874,2006,Male,Oklahoma,11658.78
172,508,Advanced Degree,00,2574707087,136489,2006,Male,Oklahoma,18863.84
173,509,Unavalble,00,488705677,110193,2006,Male,Oklahoma,4435.0
174,510,All Education Categories,00,4555936491,709979,2006,Female,Oklahoma,6417.0
175,511,Less Than High School,00,260816323,57311,2006,Female,Oklahoma,4550.89
176,512,High School Gradute,00,1012287989,179517,2006,Female,Oklahoma,5638.95
177,513,Some College,00,1458001797,211812,2006,Female,Oklahoma,6883.47
178,514,Advanced Degree,00,1450920115,145647,2006,Female,Oklahoma,9961.89
179,515,Unavalble,00,373910266,115692,2006,Female,Oklahoma,3231.95
180,564,All Education Categories,Manufacturing,1306484856,112722,2006,Male,Oklahoma,11590.33
181,565,Less Than High School,Manufacturing,131163567,14983,2006,Male,Oklahoma,8754.16
182,566,High School Gradute,Manufacturing,416375897,38609,2006,Male,Oklahoma,10784.43
183,567,Some College,Manufacturing,408379406,32877,2006,Male,Oklahoma,12421.43
184,568,Advanced Degree,Manufacturing,279686040,15290,2006,Male,Oklahoma,18292.09
185,569,Unavalble,Manufacturing,70879946,10965,2006,Male,Oklahoma,6464.2
186,570,All Education Categories,Manufacturing,291242604,37230,2006,Female,Oklahoma,7822.79
187,571,Less Than High School,Manufacturing,30781923,5098,2006,Female,Oklahoma,6038.04
188,572,High School Gradute,Manufacturing,90254877,12449,2006,Female,Oklahoma,7249.97
189,573,Some College,Manufacturing,93223640,11143,2006,Female,Oklahoma,8366.12
190,574,Advanced Degree,Manufacturing,60910216,5251,2006,Female,Oklahoma,11599.74
191,575,Unavalble,Manufacturing,16071948,3287,2006,Female,Oklahoma,4889.55
