,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
1050,44742,All Education Categories,Accommodation,47663375,11760,2011,Female,Indiana,4053.01
1051,44743,Less Than High School,Accommodation,6280191,1699,2011,Female,Indiana,3696.4
1052,44744,High School Gradute,Accommodation,14572674,3586,2011,Female,Indiana,4063.77
1053,44745,Some College,Accommodation,13161924,2921,2011,Female,Indiana,4505.97
1054,44746,Advanced Degree,Accommodation,7309708,1340,2011,Female,Indiana,5455.01
1055,44747,Unavalble,Accommodation,6338878,2214,2011,Female,Indiana,2863.09
1056,45816,All Education Categories,Educational Services,1018331254,83594,2012,Male,Indiana,12181.87
1057,45817,Less Than High School,Educational Services,43943594,5364,2012,Male,Indiana,8192.32
1058,45818,High School Gradute,Educational Services,170393654,18115,2012,Male,Indiana,9406.22
1059,45819,Some College,Educational Services,245751083,21894,2012,Male,Indiana,11224.59
1060,45820,Advanced Degree,Educational Services,541673933,32905,2012,Male,Indiana,16461.75
1061,45821,Unavalble,Educational Services,16568989,5315,2012,Male,Indiana,3117.4
1062,45822,All Education Categories,Educational Services,1516208930,176501,2012,Female,Indiana,8590.37
1063,45823,Less Than High School,Educational Services,56118304,9480,2012,Female,Indiana,5919.65
1064,45824,High School Gradute,Educational Services,296493500,43930,2012,Female,Indiana,6749.23
1065,45825,Some College,Educational Services,433281823,53042,2012,Female,Indiana,8168.66
1066,45826,Advanced Degree,Educational Services,698571069,60498,2012,Female,Indiana,11547.01
1067,45827,Unavalble,Educational Services,31744233,9551,2012,Female,Indiana,3323.66
1068,45912,All Education Categories,Accommodation,44418115,7494,2012,Male,Indiana,5927.16
1069,45913,Less Than High School,Accommodation,6078671,1139,2012,Male,Indiana,5336.85
1070,45914,High School Gradute,Accommodation,13045198,2154,2012,Male,Indiana,6056.27
1071,45915,Some College,Accommodation,11961594,1690,2012,Male,Indiana,7077.87
1072,45916,Advanced Degree,Accommodation,9334784,1006,2012,Male,Indiana,9279.11
1073,45917,Unavalble,Accommodation,3997867,1505,2012,Male,Indiana,2656.39
1074,45918,All Education Categories,Accommodation,52037478,12374,2012,Female,Indiana,4205.39
1075,45919,Less Than High School,Accommodation,7005490,1790,2012,Female,Indiana,3913.68
1076,45920,High School Gradute,Accommodation,15633307,3692,2012,Female,Indiana,4234.37
1077,45921,Some College,Accommodation,14315374,3057,2012,Female,Indiana,4682.82
1078,45922,Advanced Degree,Accommodation,7999025,1426,2012,Female,Indiana,5609.41
1079,45923,Unavalble,Accommodation,7084283,2409,2012,Female,Indiana,2940.76
